# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10994
#@/user_id	d6af5fc8-5554-4ac5-acd2-c29a134afb1d
aa[ek 	阿	c=1 d=1 t=6286
dz[le xk[ii 	都行	c=1 d=1 t=10985
dz[pe 	兜	c=1 d=1 t=6051
dz[pe di[gd 	兜底	c=2 d=1.00002 t=2365
ee[br 	額	c=1 d=1 t=4202
ee[uw 	餓	c=1 d=1 t=1197
ee[yx xb[dd 	噁心	c=1 d=1 t=1474
en[kx 	嗯	c=5 d=2.15752 t=4138
en[kx 	恩	c=1 d=1 t=1148
er[aa do[jm 	耳朵	c=2 d=1.97531 t=8391
er[aa ji[mj 	耳機	c=2 d=1.71892 t=8364
er[aa mk[kn 	耳鳴	c=1 d=1 t=8374
er[al 	而	c=7 d=2.47485 t=9762
er[al bu[ad ui[or 	而不是	c=4 d=2.78724 t=9696
er[al qp[la 	而且	c=7 d=1.00019 t=10845
er[al ui[or 	而是	c=2 d=1 t=8848
fa[ds 	法	c=2 d=1 t=10228
fa[ds go[ky 	法國	c=1 d=1 t=2681
fa[sd 	罰	c=4 d=2.90034 t=102
fa[sd ni[rx 	罰你	c=1 d=1 t=267
fa[vd 	發	c=42 d=1.02745 t=8926
fa[vd bo[uc 	發博	c=1 d=1 t=5608
fa[vd bu[uj 	發佈	c=16 d=1.00022 t=9943
fa[vd bu[uj ll[dl 	發佈量	c=1 d=1 t=8056
fa[vd fh[fw 	發放	c=2 d=1.99005 t=16
fa[vd go[zc 	發過	c=1 d=1 t=2682
fa[vd gw[sk 	發給	c=1 d=1 t=10077
fa[vd iu[vk ld[an 	發出來	c=3 d=1.00001 t=5251
fa[vd mw[ym 	發黴	c=1 d=1 t=514
fa[vd pn[xx 	發票	c=4 d=3.43746 t=765
fa[vd qi[tj 	發起	c=1 d=1 t=4407
fa[vd ug[pf 	發生	c=6 d=1.00309 t=9728
fa[vd vj[un 	發展	c=0 d=0.1 t=611
fa[vd xm[we 	發現	c=16 d=1.00024 t=10299
ff[bd 	分	c=3 d=1.07769 t=2896
ff[bd bp[kd 	分別	c=1 d=1 t=9098
ff[bd bu[uj 	分佈	c=3 d=1 t=9879
ff[bd bu[vp 	分步	c=1 d=1 t=9971
ff[bd gw[sk 	分給	c=1 d=1 t=8339
ff[bd qu[kx 	分區	c=2 d=1 t=9047
ff[bd vs[jv 	分鐘	c=6 d=1.55839 t=9992
ff[bd xl[wz 	分享	c=1 d=1 t=2510
fg[ef 	峯	c=5 d=1 t=6486
fg[ef ic[tk 	峯超	c=1 d=1 t=3347
fg[ef vi[rq 	峯值	c=16 d=1.01217 t=9503
fg[jx dc[zz 	風道	c=1 d=1 t=487
fg[jx ks[bg 	風空	c=2 d=1.89583 t=233
fg[jx ks[fg 	風控	c=1 d=1 t=234
fg[jx xm[ea 	風險	c=9 d=1.00051 t=8598
fg[tc 	封	c=1 d=1 t=4390
fh[dw 	方	c=1 d=0.1 t=5132
fh[dw an[bm 	方案	c=19 d=4.37319 t=10051
fh[dw bm[rg 	方便	c=1 d=1 t=3776
fh[dw fa[ds 	方法	c=3 d=1.86071 t=3414
